step,losses/eval.total_loss,losses/train.loss_box_reg,losses/train.loss_classifier,losses/train.loss_objectness,losses/train.loss_rpn_box_reg,losses/train.total_loss,metrics/test.mAP@50,metrics/test.mAP@50:95,metrics/test.mAP@75,metrics/test.mAR@50,metrics/test.mAR@50:95,metrics/test.mAR@75
1,,0.3112045228481293,0.34510257840156555,0.015690390020608902,0.0026862178351469575,0.6746837129287749,,,,,,
2,,0.5162808895111084,0.23820626735687256,0.002489248989149928,0.0016784273051519976,0.7586548533450234,,,,,,
3,,0.6038076281547546,0.23037323355674744,0.0026745202485471964,0.001574364947793108,0.8384297670660743,,,,,,
4,,0.6990140676498413,0.23641285300254822,0.0008965582819655538,0.0012928670665636785,0.937616357648578,,,,,,
5,,0.7498393058776855,0.24911928176879883,0.002600794890895486,0.00148005730849603,1.0030394118694357,,,,,,
6,,0.6341027617454529,0.18973152339458466,6.027406925568357e-05,0.0012506919853869432,0.8251452701646333,,,,,,
7,,0.569819450378418,0.17657417058944702,0.0002889379393309355,0.0009340459914867917,0.7476166559621191,,,,,,
8,,0.5098974108695984,0.12792259454727173,0.0005666405777446926,0.0008197074703747844,0.6392064275755962,,,,,,
9,,0.4875105321407318,0.13108111917972565,0.00031475821742787957,0.0007602695725166752,0.6196666910613537,,,,,,
10,nan,0.4196070432662964,0.09543146193027496,0.00016282095748465508,0.0005748844117765217,0.5157762091068114,100.0,80.0,100.0,100.0,80.0,100.0
11,,0.5115218162536621,0.11308461427688599,0.00026797427562996745,0.000673591243518701,0.6255479942575136,,,,,,
12,,0.5206565856933594,0.11893545836210251,6.947023939574137e-05,0.0007135739464951167,0.6403750373161596,,,,,,
13,,0.5128547549247742,0.09932608902454376,2.4003058570087887e-05,0.0007264179610615484,0.6129312666026893,,,,,,
14,,0.4998042583465576,0.10522488504648209,0.00042292612488381565,0.0007380597188601928,0.6061900725777529,,,,,,
15,,0.46954476833343506,0.0871845930814743,0.00013605448475573212,0.000776569671975357,0.5576419326126256,,,,,,
